Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle
2020,1,1,0,0,0,0,0,48.31,166.42
2020,1,1,0,10,0,0,0,48.31,165.7
2020,1,1,0,20,0,0,0,48.31,164.72
2020,1,1,0,30,0,0,0,48.66,163.51
2020,1,1,0,40,0,0,0,48.47,162.12
2020,1,1,0,50,0,0,0,48.47,160.59
2020,1,1,1,0,0,0,0,48.47,158.94
2020,1,1,1,10,0,0,0,48.47,157.22
2020,1,1,1,20,0,0,0,48.47,155.43
2020,1,1,1,30,0,0,0,48.47,153.59
2020,1,1,1,40,0,0,0,48.43,151.7
2020,1,1,1,50,0,0,0,48.38,149.79
2020,1,1,2,0,0,0,0,48.38,147.84
2020,1,1,2,10,0,0,0,48.38,145.88
2020,1,1,2,20,0,0,0,48.72,143.9
2020,1,1,2,30,0,0,0,49.07,141.91
2020,1,1,2,40,0,0,0,49.17,139.91
2020,1,1,2,50,0,0,0,49.52,137.91
2020,1,1,3,0,0,0,0,49.87,135.89
2020,1,1,3,10,0,0,0,49.87,133.88
2020,1,1,3,20,0,0,0,49.87,131.86
2020,1,1,3,30,0,0,0,49.87,129.84
2020,1,1,3,40,0,0,0,49.91,127.82
2020,1,1,3,50,0,0,0,49.91,125.81
2020,1,1,4,0,0,0,0,49.91,123.8
2020,1,1,4,10,0,0,0,49.56,121.79
2020,1,1,4,20,0,0,0,48.86,119.79
2020,1,1,4,30,0,0,0,48.17,117.8
2020,1,1,4,40,0,0,0,47.35,115.81
2020,1,1,4,50,0,0,0,46.69,113.83
2020,1,1,5,0,0,0,0,46.36,111.86
2020,1,1,5,10,0,0,0,45.71,109.9
2020,1,1,5,20,0,0,0,45.39,107.95
2020,1,1,5,30,0,0,0,45.07,106.02
2020,1,1,5,40,0,0,0,45.44,104.1
2020,1,1,5,50,0,0,0,45.12,102.19
2020,1,1,6,0,0,0,0,44.81,100.3
2020,1,1,6,10,0,0,0,44.5,98.42
2020,1,1,6,20,0,0,0,44.19,96.57
2020,1,1,6,30,0,0,0,43.88,94.73
2020,1,1,6,40,0,0,0,47.04,92.91
2020,1,1,6,50,0,0,0,46.71,91.12
2020,1,1,7,0,5,0,5,46.38,88.97
2020,1,1,7,10,17,0,17,45.42,87.36
2020,1,1,7,20,26,14,27,44.48,85.72
2020,1,1,7,30,37,107,48,43.57,84.07
2020,1,1,7,40,47,135,65,44.25,82.44
2020,1,1,7,50,59,142,81,43.34,80.84
2020,1,1,8,0,70,167,101,42.45,79.26
2020,1,1,8,10,82,73,98,41.3,77.73
2020,1,1,8,20,94,76,112,40.18,76.23
2020,1,1,8,30,79,0,79,39.37,74.77
2020,1,1,8,40,84,482,222,36.82,73.35
2020,1,1,8,50,97,448,236,35.84,71.99
2020,1,1,9,0,50,829,324,34.88,70.67
2020,1,1,9,10,51,845,348,34.18,69.41
2020,1,1,9,20,137,369,274,33.5,68.21
2020,1,1,9,30,121,508,319,32.61,67.07
2020,1,1,9,40,117,563,346,33.24,65.99
2020,1,1,9,50,152,425,332,32.58,64.97
2020,1,1,10,0,168,382,335,31.94,64.03
2020,1,1,10,10,171,398,351,31.52,63.17
2020,1,1,10,20,187,346,348,31.07,62.38
2020,1,1,10,30,145,561,411,30.66,61.66
2020,1,1,10,40,125,643,436,31.87,61.04
2020,1,1,10,50,123,658,448,31.45,60.49
2020,1,1,11,0,179,476,417,31,60.04
2020,1,1,11,10,189,444,413,31,59.68
2020,1,1,11,20,221,296,372,31.21,59.4
2020,1,1,11,30,236,142,309,31.18,59.22
2020,1,1,11,40,236,178,328,33.14,59.14
2020,1,1,11,50,236,191,333,33.14,59.15
2020,1,1,12,0,231,92,278,33.11,59.25
2020,1,1,12,10,227,253,356,32.89,59.44
2020,1,1,12,20,84,819,497,32.67,59.73
2020,1,1,12,30,63,927,525,32.46,60.11
2020,1,1,12,40,64,920,516,33.11,60.58
2020,1,1,12,50,63,916,505,32.89,61.14
2020,1,1,13,0,62,911,493,32.67,61.78
2020,1,1,13,10,62,905,480,32.89,62.51
2020,1,1,13,20,61,894,463,32.89,63.31
2020,1,1,13,30,60,886,446,32.89,64.19
2020,1,1,13,40,61,873,428,38.37,65.14
2020,1,1,13,50,60,862,408,38.37,66.17
2020,1,1,14,0,58,851,387,38.62,67.26
2020,1,1,14,10,57,837,365,39.13,68.41
